volumeId,volumeNumber,year
volume::nucleic acids research::2024,2024,2024
volume::journal of cheminformatics::2014,2014,2014
volume::proceedings of the vldb endowment::2021,2021,2021
volume::acm computing surveys::1990,1990,1990
volume::proceedings of the vldb endowment::2019,2019,2019
volume::lecture notes in computer science::2018,2018,2018
volume::ieee transactions on knowledge and data engineering::2019,2019,2019
volume::found. trends databases::2017,2017,2017
volume::communications of the acm::2018,2018,2018
volume::the vldb journal::2023,2023,2023
volume::computer science - research and development::2016,2016,2016
volume::computer vision and pattern recognition::2017,2017,2017
volume::nucleic acids res.::2015,2015,2015
volume::apress::2016,2016,2016
volume::ieee transactions on pattern analysis and machine intelligence::2020,2020,2020
volume::speech communication::1993,1993,1993
volume::cacm::1992,1992,1992
volume::vision::2011,2011,2011
volume::proceedings of the vldb endowment::2014,2014,2014
volume::international journal of systematic and evolutionary microbiology::2012,2012,2012
volume::database j. biol. databases curation::2017,2017,2017
volume::nature food::2021,2021,2021
volume::lecture notes in computer science::2014,2014,2014
volume::trans. large scale data knowl. centered syst.::2014,2014,2014
volume::nucleic acids res.::2010,2010,2010
volume::csur::1986,1986,1986
volume::encyclopedia of database systems::2009,2009,2009
volume::tods::2005,2005,2005
volume::apress::2014,2014,2014
volume::csur::2008,2008,2008
volume::found. trends databases::2013,2013,2013
volume::nucleic acids res.::2012,2012,2012
volume::proceedings of the vldb endowment::2012,2012,2012
volume::principles of computer science series::1988,1988,1988
volume::ieee transactions on knowledge and data engineering::1996,1996,1996
volume::tods::2011,2011,2011
volume::the vldb journal::2011,2011,2011
volume::topics in information systems::2011,2011,2011
volume::nucleic acids res.::2009,2009,2009
volume::proceedings of the vldb endowment::2010,2010,2010
volume::advances in intelligent information and database systems::2010,2010,2010
volume::proceedings of the vldb endowment::2009,2009,2009
volume::sgmd::2009,2009,2009
volume::csur::1984,1984,1984
volume::the vldb journal::2005,2005,2005
volume::genome research::2003,2003,2003
volume::scientific data::2014,2014,2014
volume::wiley encyclopedia of computer science and engineering::2008,2008,2008
volume::csur::1996,1996,1996
volume::acm computing surveys::2021,2021,2021
volume::annual meeting of the association for computational linguistics::2014,2014,2014
volume::arxiv.org::2019,2019,2019
volume::journal of machine learning research::2011,2011,2011
volume::acm trans. comput. heal.::2020,2020,2020
volume::information retrieval (boston)::2001,2001,2001
volume::nature reviews psychology::2025,2025,2025
volume::natural language processing::2025,2025,2025
volume::artificial intelligence review::2025,2025,2025
volume::ieee computational intelligence magazine::2017,2017,2017
volume::annual meeting of the association for computational linguistics::2020,2020,2020
volume::npj computational materials::2025,2025,2025
volume::science china technological sciences::2020,2020,2020
volume::language resources and evaluation::2010,2010,2010
volume::arxiv.org::2018,2018,2018
volume::ieee transactions on neural networks and learning systems::2020,2020,2020
volume::artificial intelligence::1982,1982,1982
volume::journal of big data::2024,2024,2024
volume::acm computing surveys::2024,2024,2024
volume::safety::2023,2023,2023
volume::arxiv.org::2024,2024,2024
volume::language resources and evaluation::2024,2024,2024
volume::automation in construction::2024,2024,2024
volume::socialnlp@eacl::2017,2017,2017
volume::bionlp@acl::2019,2019,2019
volume::frontiers artif. intell.::2024,2024,2024
volume::comput. biol. medicine::2023,2023,2023
volume::transactions of the association for computational linguistics::2018,2018,2018
volume::multimedia tools and applications::2017,2017,2017
volume::prentice hall series in artificial intelligence::2000,2000,2000
volume::arxiv.org::2022,2022,2022
volume::nature communications::2023,2023,2023
volume::npj digital medicine::2022,2022,2022
volume::nlposs::2023,2023,2023
volume::arxiv.org::2023,2023,2023
volume::inf.::2023,2023,2023
volume::translational psychiatry::2023,2023,2023
volume::arxiv.org::2017,2017,2017
volume::natural language processing journal::2023,2023,2023
volume::findings::2020,2020,2020
volume::found. trends mach. learn.::2023,2023,2023
volume::annual meeting of the association for computational linguistics::2019,2019,2019
volume::neurocomputing::2021,2021,2021
volume::ai open::2021,2021,2021
volume::journal of robotics spectrum::2023,2023,2023
volume::frontiers in artificial intelligence::2020,2020,2020
volume::language and linguistics compass::2021,2021,2021
volume::machine-mediated learning::2023,2023,2023
volume::transactions of the association for computational linguistics::2021,2021,2021
volume::north american chapter of the association for computational linguistics::2019,2019,2019
volume::interantional journal of scientific research in engineering and management::2023,2023,2023
volume::arxiv.org::2021,2021,2021
volume::computational linguistics::2017,2017,2017
volume::aacl::2020,2020,2020
volume::journal of artificial intelligence research::2015,2015,2015
volume::communications biology::2022,2022,2022
volume::north american chapter of the association for computational linguistics::2020,2020,2020
volume::transactions of the association for computational linguistics::2022,2022,2022
volume::iberlef@sepln::2022,2022,2022
volume::social science research network::2023,2023,2023
volume::journal of management analytics::2020,2020,2020
volume::ieee transactions on neural networks and learning systems::2019,2019,2019
volume::apress::2019,2019,2019
volume::aacl::2022,2022,2022
volume::naacl-hlt::2021,2021,2021
volume::patterns::2021,2021,2021
volume::computer science review::2021,2021,2021
volume::bmc medical informatics and decision making::2021,2021,2021
volume::information processing & management::2021,2021,2021
volume::journal of medical internet research::2019,2019,2019
volume::computers & security::2021,2021,2021
volume::applied sciences::2022,2022,2022
volume::j. am. medical informatics assoc.::2019,2019,2019
volume::annual meeting of the association for computational linguistics::2021,2021,2021
volume::bmc medical research methodology::2021,2021,2021
volume::ieee access::2021,2021,2021
volume::trends in anaesthesia and critical care::2021,2021,2021
volume::ieee reviews in biomedical engineering::2021,2021,2021
volume::arxiv.org::2016,2016,2016
volume::artif. intell. medicine::2024,2024,2024
volume::arxiv.org::2015,2015,2015
volume::jacm::1996,1996,1996
volume::computer::2020,2020,2020
volume::enterprise process management systems::2018,2018,2018
volume::computer science review::2018,2018,2018
volume::lectures on runtime verification::2018,2018,2018
volume::cambridge international law journal::2018,2018,2018
volume::j. parallel distributed comput.::2017,2017,2017
volume::ieee transactions on industrial electronics (1982. print)::2006,2006,2006
volume::ieee transactions on parallel and distributed systems::2017,2017,2017
volume::ieee transactions on fuzzy systems::2021,2021,2021
volume::ieee transactions on smart grid::2017,2017,2017
volume::computing::2016,2016,2016
volume::ieee transactions on parallel and distributed systems::2016,2016,2016
volume::ieee transactions on automatic control::2012,2012,2012
volume::ieee transactions on industrial informatics::2019,2019,2019
volume::scientific programming::2005,2005,2005
volume::information sciences::2017,2017,2017
volume::proceedings of the ieee::2017,2017,2017
volume::j. parallel distributed comput.::2001,2001,2001
volume::ieee transactions on cybernetics::2016,2016,2016
"volume::ieee transactions on systems, man, and cybernetics: systems::2019",2019,2019
volume::international journal of systems science::2016,2016,2016
volume::at - automatisierungstechnik::2017,2017,2017
volume::ieee transactions on smart grid::2018,2018,2018
volume::cacm::1974,1974,1974
volume::neural information processing systems::2012,2012,2012
volume::acm computing surveys::2014,2014,2014
volume::acm computing surveys::2019,2019,2019
volume::ieee power & energy society general meeting::2016,2016,2016
volume::ieee transactions on power systems::2016,2016,2016
volume::annual reviews in control::2019,2019,2019
volume::knowledge and information systems::2021,2021,2021
volume::ieee transactions on automatic control::2016,2016,2016
volume::ieee transactions on cybernetics::2020,2020,2020
"volume::ieee transactions on systems, man, and cybernetics: systems::2020",2020,2020
volume::future generations computer systems::2017,2017,2017
volume::at - automatisierungstechnik::2016,2016,2016
volume::ieee transactions on automatic control::2011,2011,2011
volume::ieee communications surveys and tutorials::2012,2012,2012
volume::j. parallel distributed comput.::2013,2013,2013
volume::power engineering society summer meeting::2000,2000,2000
volume::journal of computer and system sciences (print)::2013,2013,2013
volume::ieee transactions on automatic control::2013,2013,2013
volume::measurement and modeling of computer systems::2017,2017,2017
volume::csur::2009,2009,2009
volume::neural information processing systems::2017,2017,2017
volume::journal of machine learning research::2019,2019,2019
volume::north american chapter of the association for computational linguistics::2018,2018,2018
volume::neural computation::1997,1997,1997
volume::neural information processing systems::2020,2020,2020
volume::bioinform.::2019,2019,2019
volume::neural information processing systems::2019,2019,2019
volume::blackboxnlp@emnlp::2018,2018,2018
volume::transactions of the association for computational linguistics::2016,2016,2016
volume::neural information processing systems::2014,2014,2014
volume::acm multimedia::2014,2014,2014
volume::findings::2019,2019,2019
volume::transactions of the association for computational linguistics::2019,2019,2019
volume::arxiv.org::2014,2014,2014
volume::journal of machine learning research::2003,2003,2003
volume::proceedings of the ieee::1998,1998,1998
volume::computer vision and pattern recognition::2015,2015,2015
volume::communications of the acm::2012,2012,2012
volume::machine-mediated learning::1997,1997,1997
volume::bioinform.::2017,2017,2017
volume::database j. biol. databases curation::2016,2016,2016
volume::ieee transactions on knowledge and data engineering::2010,2010,2010
volume::ssst@emnlp::2014,2014,2014
volume::computer vision and pattern recognition::2014,2014,2014
volume::arxiv.org::2020,2020,2020
volume::transactions of the association for computational linguistics::2020,2020,2020
volume::annual meeting of the association for computational linguistics::2016,2016,2016
volume::annual meeting of the association for computational linguistics::2018,2018,2018
volume::program::1997,1997,1997
volume::journal of biomedical informatics::2014,2014,2014
volume::annual meeting of the association for computational linguistics::2017,2017,2017
volume::neural information processing systems::2015,2015,2015
volume::neural information processing systems::2013,2013,2013
volume::north american chapter of the association for computational linguistics::2017,2017,2017
volume::annual meeting of the association for computational linguistics::2015,2015,2015
volume::arxiv.org::2013,2013,2013
volume::interspeech::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2005,2005,2005
volume::annual meeting of the association for computational linguistics::2002,2002,2002
volume::north american chapter of the association for computational linguistics::2016,2016,2016
volume::lecture notes in computer science::2006,2006,2006
volume::arxiv.org::2012,2012,2012
volume::annual meeting of the association for computational linguistics::2011,2011,2011
volume::blackboxnlp@acl::2019,2019,2019
volume::cognitive sciences::1990,1990,1990
volume::journal of machine learning research::2014,2014,2014
volume::acl-pascal@acl::2007,2007,2007
volume::nature::1986,1986,1986
volume::international journal of computer vision::2014,2014,2014
volume::north american chapter of the association for computational linguistics::2021,2021,2021
volume::journal of machine learning research::2005,2005,2005
volume::scientific data::2016,2016,2016
volume::interspeech::2013,2013,2013
volume::rep4nlp@acl::2016,2016,2016
volume::neural networks::2005,2005,2005
volume::human language technology - the baltic perspectiv::1995,1995,1995
volume::annual meeting of the association for computational linguistics::2004,2004,2004
volume::knowledge discovery and data mining::2004,2004,2004
volume::coco@nips::2016,2016,2016
volume::emnlp-conll shared task::2012,2012,2012
volume::ieee transactions on signal processing::1997,1997,1997
volume::ieee trans. neural networks::1994,1994,1994
volume::north american chapter of the association for computational linguistics::2006,2006,2006
volume::annual meeting of the association for computational linguistics::2003,2003,2003
volume::ieee signal processing magazine::2012,2012,2012
volume::language resources and evaluation::2005,2005,2005
volume::annual meeting of the association for computational linguistics::2007,2007,2007
volume::international journal of computer vision::2015,2015,2015
volume::transactions of the association for computational linguistics::2014,2014,2014
volume::ieee transactions on acoustics speech and signal processing::1989,1989,1989
volume::north american chapter of the association for computational linguistics::2015,2015,2015
volume::north american chapter of the association for computational linguistics::2003,2003,2003
volume::neural information processing systems::2016,2016,2016
volume::annual meeting of the association for computational linguistics::2012,2012,2012
"volume::ieee transactions on audio, speech, and language processing::2012",2012,2012
volume::neural information processing systems::2011,2011,2011
volume::north american chapter of the association for computational linguistics::2013,2013,2013
volume::ethnlp@eacl::2017,2017,2017
volume::machine translation summit::2017,2017,2017
volume::neural information processing systems::2006,2006,2006
volume::studies in computational intelligence::2012,2012,2012
volume::interspeech::2012,2012,2012
volume::neural information processing systems::2008,2008,2008
volume::interspeech::2011,2011,2011
volume::journal of artificial intelligence research::2013,2013,2013
volume::transactions of the association for computational linguistics::2017,2017,2017
volume::science::2016,2016,2016
volume::scholarpedia::2008,2008,2008
volume::wmt@acl::2014,2014,2014
volume::international journal of computer vision::2010,2010,2010
volume::neural computation::1989,1989,1989
volume::ieee transactions on big data::2017,2017,2017
volume::international journal of computer vision::2013,2013,2013
volume::ieee transactions on pattern analysis and machine intelligence::2013,2013,2013
volume::cognitive sciences::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2013,2013,2013
volume::ieee transactions on neural networks and learning systems::2015,2015,2015
volume::neural computation::2006,2006,2006
volume::neural networks::2012,2012,2012
volume::journal of artificial intelligence research::2010,2010,2010
volume::neural computation::2000,2000,2000
volume::machine-mediated learning::1991,1991,1991
volume::machine-mediated learning::2004,2004,2004
volume::proceedings of the national academy of sciences of the united states of america::2017,2017,2017
volume::tois::2002,2002,2002
volume::proceedings of the ieee::1990,1990,1990
volume::machine translation summit::2005,2005,2005
volume::ieee transactions on pattern analysis and machine intelligence::2010,2010,2010
volume::wmt@emnlp::2015,2015,2015
volume::mturk@hlt-naacl::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2008,2008,2008
volume::ieee transactions on pattern analysis and machine intelligence::2012,2012,2012
volume::annual meeting of the association for computational linguistics::1996,1996,1996
volume::ieee transactions on pattern analysis and machine intelligence::2009,2009,2009
volume::archives de pédiatrie::2008,2008,2008
volume::repl4nlp@acl::2019,2019,2019
volume::news@acl::2015,2015,2015
volume::annual meeting of the association for computational linguistics::2006,2006,2006
volume::annual meeting of the association for computational linguistics::1998,1998,1998
volume::journal of machine learning research::2012,2012,2012
volume::cacm::1965,1965,1965
volume::computer speech and language::2007,2007,2007
volume::interspeech::2014,2014,2014
volume::fat::2018,2018,2018
volume::nlpba/bionlp::2004,2004,2004
volume::transactions of the association for computational linguistics::2015,2015,2015
volume::lifelongnlp::2020,2020,2020
volume::international journal of semantic computing::2016,2016,2016
volume::ieevaluation@acl::2005,2005,2005
volume::found. trends mach. learn.::2007,2007,2007
volume::proceedings of the ieee::2010,2010,2010
volume::interspeech::2002,2002,2002
volume::journal of machine learning research::2004,2004,2004
volume::knowledge discovery and data mining::2006,2006,2006
volume::conll/lll::2000,2000,2000
volume::artificial intelligence::1990,1990,1990
volume::neural networks::1988,1988,1988
volume::neural information processing systems::2018,2018,2018
volume::annual meeting of the association for computational linguistics::1999,1999,1999
volume::north american chapter of the association for computational linguistics::2012,2012,2012
volume::wlm@naacl-hlt::2012,2012,2012
volume::ieee transactions on neural networks::2008,2008,2008
volume::machine-mediated learning::2010,2010,2010
volume::computer speech and language::2001,2001,2001
volume::clicit::2019,2019,2019
volume::nut@ijcnlp::2015,2015,2015
volume::hlt-naacl 2003::2003,2003,2003
volume::knowledge discovery and data mining::2014,2014,2014
volume::journal of personality and social psychology::1998,1998,1998
volume::neural information processing systems::1989,1989,1989
volume::annual meeting of the association for computational linguistics::2009,2009,2009
volume::nucleic acids res.::2004,2004,2004
volume::computer vision and pattern recognition::2016,2016,2016
volume::the ai magazine::2010,2010,2010
volume::cacm::2013,2013,2013
volume::information technology convergence and services::2011,2011,2011
volume::ieee transactions on pattern analysis and machine intelligence::2011,2011,2011
volume::nmt@acl::2017,2017,2017
volume::north american chapter of the association for computational linguistics::2004,2004,2004
volume::cognition::1993,1993,1993
volume::north american chapter of the association for computational linguistics::2009,2009,2009
volume::north american chapter of the association for computational linguistics::2014,2014,2014
volume::journal of machine learning research::2010,2010,2010
volume::ieee transactions on pattern analysis and machine intelligence::2015,2015,2015
volume::international journal of computer vision::2004,2004,2004
volume::cvsm@acl::2013,2013,2013
volume::cacm::2008,2008,2008
volume::quantum interaction::2007,2007,2007
volume::ieee transactions on pattern analysis and machine intelligence::2014,2014,2014
volume::computer vision and pattern recognition::2011,2011,2011
volume::computer vision and pattern recognition::2005,2005,2005
volume::wmt@emnlp::2011,2011,2011
volume::proceedings of the ieee::2013,2013,2013
volume::icml unsupervised and transfer learning::2011,2011,2011
volume::behavior research methods::2007,2007,2007
volume::biochimica et biophysica acta::1975,1975,1975
volume::vlc@acl::1995,1995,1995
volume::journal of artificial intelligence research::2012,2012,2012
